__index__	time	open	high	low	close	volume
2015-01-01 19:30:00	2015-01-01 19:30:00	50.03	50.4	50.03	50.4	84844
2015-01-04 19:30:00	2015-01-04 19:30:00	50.69	50.73	50.32	50.65	42645
2015-01-05 19:30:00	2015-01-05 19:30:00	50.18	50.18	49.46	49.77	232437
2015-01-06 19:30:00	2015-01-06 19:30:00	49.88	49.88	49.3	49.63	58253
2015-01-07 19:30:00	2015-01-07 19:30:00	49.9	50.05	49.74	49.77	83496
